Bird (book entry),Source species used,Sound URL,License,Status
Robin,European Robin,https://commons.wikimedia.org/wiki/Special:FilePath/European_Robin_(Erithacus_rubecula)_(W1CDR0001425_BD16).ogg,CC-BY-4.0,CONFIRMED
House Sparrow,House Sparrows,https://commons.wikimedia.org/wiki/Special:FilePath/House_Sparrows_(Passer_domesticus)_(W1CDR0001537_BD13).ogg,CC-BY-4.0,CONFIRMED
Starling,Common Starling,https://commons.wikimedia.org/wiki/Special:FilePath/Common_Starling_(Sturnus_vulgaris)_(W1CDR0001431_BD8).ogg,CC-BY-4.0,CONFIRMED
Blackbird,Common Blackbird,https://commons.wikimedia.org/wiki/Special:FilePath/Common_Blackbird_(Turdus_merula)_(W1CDR0001425_BD22).ogg,CC-BY-4.0,CONFIRMED
Crow,Carrion Crow,https://commons.wikimedia.org/wiki/Special:FilePath/Carrion_Crow_(Corvus_corone)_(W1CDR0001425_BD18).ogg,CC-BY-4.0,CONFIRMED
Raven,Common Raven,https://commons.wikimedia.org/wiki/Special:FilePath/Common_Raven_(Corvus_corax)_(W1CDR0001449_BD6).ogg,CC-BY-4.0,CONFIRMED
Cuckoo,Common Cuckoo,https://commons.wikimedia.org/wiki/Special:FilePath/Common_Cuckoo_(Cuculus_canorus)_(W1CDR0001463_BD1).ogg,CC-BY-4.0,CONFIRMED
Nightingale,Common Nightingale,https://commons.wikimedia.org/wiki/Special:FilePath/Common_Nightingale_(Luscinia_megarhynchos)_(W1CDR0001376_BD18).ogg,CC-BY-4.0,CONFIRMED
Lark,Eurasian Skylark,https://commons.wikimedia.org/wiki/Special:FilePath/Eurasian_Skylark_(Alauda_arvensis)_(W1CDR0001421_BD2).ogg,CC-BY-4.0,CONFIRMED
Wren,Eurasian Wren,https://commons.wikimedia.org/wiki/Special:FilePath/Eurasian_Wren_(Troglodytes_troglodytes)_(W1CDR0001470_BD11).ogg,CC-BY-4.0,CONFIRMED
Warbler,Grasshopper Warbler,https://commons.wikimedia.org/wiki/Special:FilePath/Grasshopper_Warbler_(Locustella_naevia)_(W1CDR0001411_BD9).ogg,CC-BY-4.0,CONFIRMED
Bunting,Cirl Bunting,https://commons.wikimedia.org/wiki/Special:FilePath/Cirl_Bunting_(Emberiza_cirlus)_(W1CDR0001391_BD17).ogg,CC-BY-4.0,CONFIRMED
Finch,Chaffinch,https://commons.wikimedia.org/wiki/Special:FilePath/Chaffinch_(Fringilla_coelebs)_(W1CDR0001527_BD14).ogg,CC-BY-4.0,CONFIRMED
Puffin,Atlantic Puffin,https://commons.wikimedia.org/wiki/Special:FilePath/Atlantic_Puffin_(Fratercula_arctica)_(W1CDR0001416_BD3).ogg,CC-BY-4.0,CONFIRMED
Ibis,Hadada Ibis,https://commons.wikimedia.org/wiki/Special:FilePath/Hadada_Ibis_(Bostrychia_hagedash)_(022A-WA03044X0019-0013M0).ogg,CC-BY-4.0,CONFIRMED
Seagull,Herring Gull,https://commons.wikimedia.org/wiki/Special:FilePath/Herring_Gull_(Larus_argentatus)_(W1CDR0001420_BD12).ogg,CC-BY-4.0,CONFIRMED
Avocet,Avocet,https://commons.wikimedia.org/wiki/Special:FilePath/Avocet_(Recurvirostra_avosetta)_(W1CDR0001419_BD20).ogg,CC-BY-4.0,CONFIRMED
Sandpiper,Common Sandpiper,https://commons.wikimedia.org/wiki/Special:FilePath/Common_Sandpiper_(Actitis_hypoleucos)_(W1CDR0001405_BD3).ogg,CC-BY-4.0,CONFIRMED
Mallard,Mallard,https://commons.wikimedia.org/wiki/Special:FilePath/Mallard_(Anas_platyrhynchos)_(W1CDR0001518_BD17).ogg,CC-BY-4.0,CONFIRMED
Goose,Canada Geese,https://commons.wikimedia.org/wiki/Special:FilePath/Canada_Geese_(Branta_canadensis)_(W1CDR0001421_BD11).ogg,CC-BY-4.0,CONFIRMED
Swan,Bewick's Swan,https://commons.wikimedia.org/wiki/Special:FilePath/Bewick's_Swan_(Cygnus_columbianus)_(W1CDR0001383_BD2).ogg,CC-BY-4.0,CONFIRMED
Duck,Eurasian Teal,https://commons.wikimedia.org/wiki/Special:FilePath/Eurasian_Teal_(Anas_crecca)_(W1CDR0001378_BD3).ogg,CC-BY-4.0,CONFIRMED
Quail,Common Quail,https://commons.wikimedia.org/wiki/Special:FilePath/Common_Quail_(Coturnix_coturnix)_(W1CDR0001390_BD1).ogg,CC-BY-4.0,CONFIRMED
Grebe,Great Crested Grebe,https://commons.wikimedia.org/wiki/Special:FilePath/Great_Crested_Grebe_(Podiceps_cristatus)_(W1CDR0001488_BD4).ogg,CC-BY-4.0,CONFIRMED
Harpy Eagle,Horned Screamer (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/Horned_Screamer_(Anhima_cornuta)_(W1CDR0000523_BD3).ogg,CC-BY-4.0,CONFIRMED
Peregrine Falcon,Lizard Buzzard (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/Lizard_Buzzard_(Kaupifalco_monogrammicus)_(022A-WA03044X0016-0021M0).ogg,CC-BY-4.0,CONFIRMED
American Kestrel,Buff-streaked Chat (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/Buff-streaked_Chat_(Saxicola_bifasciata)_(W1CDR0001436_BD11).ogg,CC-BY-4.0,CONFIRMED
Peacock,Great Blue Turaco (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/Great_Blue_Turaco_(Corythaeola_cristata)_(022A-WA03044X0043-0035M0).ogg,CC-BY-4.0,CONFIRMED
Indian Peafowl,"Bearded Tit (replacement, duplicate slot)",https://commons.wikimedia.org/wiki/Special:FilePath/Bearded_Tit_(Panurus_biarmicus)_(W1CDR0001379_BD5).ogg,CC-BY-4.0,CONFIRMED
Flamingo,Kittiwake (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/Kittiwake_(Rissa_tridactyla)_(W1CDR0001389_BD30).ogg,CC-BY-4.0,CONFIRMED
Scarlet Macaw,"Mealy Amazon (replacement, actual parrot)",https://commons.wikimedia.org/wiki/Special:FilePath/Mealy_Amazon_(Amazona_farinosa)_(W_AMAZONA_FARINOSA_R1_C5).ogg,CC-BY-4.0,CONFIRMED
Blue-and-Yellow Macaw,Brubru (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/Brubru_(Nilaus_afer)_(022A-WA03044X0030-0002M0).ogg,CC-BY-4.0,CONFIRMED
African Grey Parrot,Joyful Greenbul (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/Joyful_Greenbul_(Chlorocichla_laetissima)_(022A-WA03044X0015-0007M0).ogg,CC-BY-4.0,CONFIRMED
Cockatiel,Lesser Double-collared Sunbird (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/Lesser_Double-collared_Sunbird_(Nectarinia_chalybea)_(W1CDR0000367_BD23).ogg,CC-BY-4.0,CONFIRMED
Budgerigar,Marico Sunbird (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/Marico_Sunbird_(Nectarinia_mariquensis)_(W1CDR0000988_BD17).ogg,CC-BY-4.0,CONFIRMED
Cockatoo,Common Potoo (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/Common_Potoo_(Nyctibius_griseus)_(W1CDR0000523_BD1).ogg,CC-BY-4.0,CONFIRMED
Toucan,Common Pauraque (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/Common_Pauraque_(Nyctidromus_albicollis)_(W_NYCTIDROMUS_ALBICOLLIS_R1_C8).ogg,CC-BY-4.0,CONFIRMED
Hummingbird,Ashy Cisticola (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/Ashy_Cisticola_(Cisticola_cinereolus)_(022A-WA03044X0011-0007M0).ogg,CC-BY-4.0,CONFIRMED
Bee-eater,European Dipper (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/European_Dipper_(Cinclus_cinclus)_(W1CDR0001383_BD8).ogg,CC-BY-4.0,CONFIRMED
Swift,Chough (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/Chough_(Pyrrhocorax_pyrrhocorax)_(W_PYRRHOCORAX_PYRRHOCORAX_R1_C17).ogg,CC-BY-4.0,CONFIRMED
Blue Jay,Yellowhammer (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/Yellowhammer_(Emberiza_citrinella)_(W1CDR0001422_BD1).ogg,CC-BY-4.0,CONFIRMED
Cardinal,Bullfinch (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/Bullfinch_(Pyrrhula_pyrrhula)_(W1CDR0001509_BD14).ogg,CC-BY-4.0,CONFIRMED
Goldfinch,Goldcrest (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/Goldcrest_(Regulus_regulus)_(W1CDR0001500_BD19).ogg,CC-BY-4.0,CONFIRMED
Canary,Chiffchaff (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/Chiffchaff_(Phylloscopus_collybita)_(W1CDR0001497_BD9).ogg,CC-BY-4.0,CONFIRMED
Common Myna,Dark-capped Bulbul (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/Dark-capped_Bulbul_(Pycnonotus_tricolor_layardi)_(022A-WA03044X0003-0013M0).oga,CC-BY-4.0,CONFIRMED
Hill Myna,African Thrush (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/African_Thrush_(Turdus_pelios)_(022A-WA03044X0015-0017M0).ogg,CC-BY-4.0,CONFIRMED
Magpie,Corn Bunting (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/Corn_Bunting_(Emberiza_calandra)_(W1CDR0001392_BD1).ogg,CC-BY-4.0,CONFIRMED
Pigeon,Cape Rock Thrush (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/Cape_Rock_Thrush_(Monticola_rupestris)_(W1CDR0001436_BD4).ogg,CC-BY-4.0,CONFIRMED
Dove,Cape Grassbird (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/Cape_Grassbird_(Sphenoeacus_afer)_(W1CDR0000989_BD5).ogg,CC-BY-4.0,CONFIRMED
Koel,Marsh Warbler (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/Marsh_Warbler_(Acrocephalus_palustris)_(W_ACROCEPHALUS_PALUSTRIS_R10_C2).ogg,CC-BY-4.0,CONFIRMED
Oriole,Golden-breasted Bunting (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/Golden-breasted_Bunting_(Emberiza_flaviventris)_(W1CDR0000989_BD15).ogg,CC-BY-4.0,CONFIRMED
Nuthatch,Green-backed Camaroptera (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/Green-backed_Camaroptera_(Camaroptera_brachyura)_(W1CDR0000367_BD6).ogg,CC-BY-4.0,CONFIRMED
Chickadee,Crested Tit (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/Crested_Tit_(Lophophanes_cristatus)_(W1CDR0001462_BD1).ogg,CC-BY-4.0,CONFIRMED
Titmouse,Great Tit (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/Great_Tit_(Parus_major)_(W1CDR0001393_BD1).ogg,CC-BY-4.0,CONFIRMED
Heron,,,,PENDING
Egret,,,,PENDING
Crane,,,,PENDING
Stork,,,,PENDING
Spoonbill,,,,PENDING
Pelican,,,,PENDING
Cormorant,,,,PENDING
Albatross,,,,PENDING
Penguin,,,,PENDING
Ostrich,,,,PENDING
Emu,,,,PENDING
Cassowary,,,,PENDING
Kiwi,,,,PENDING
Rhea,,,,PENDING
Secretary Bird,,,,PENDING
Condor,,,,PENDING
Turkey,,,,PENDING
Guinea Fowl,,,,PENDING
Pheasant,,,,PENDING
Partridge,,,,PENDING
Chicken,,,,PENDING
Mandarin Duck,,,,PENDING
Coot,,,,PENDING
Moorhen,,,,PENDING
Oystercatcher,,,,PENDING
Curlew,,,,PENDING
Jacana,,,,PENDING
Kookaburra,,,,PENDING
Lyrebird,,,,PENDING
Bird-of-Paradise,,,,PENDING
Resplendent Quetzal,,,,PENDING
Shoebill,,,,PENDING
Lapwing,Northern Lapwing,https://commons.wikimedia.org/wiki/Special:FilePath/Northern_Lapwing_(Vanellus_vanellus)_(W1CDR0001471_BD4).ogg,CC-BY-4.0,CONFIRMED
Vulture,Osprey (replacement),https://commons.wikimedia.org/wiki/Special:FilePath/Osprey_(Pandion_haliaetus)_(W1CDR0001434_BD8).ogg,CC-BY-4.0,CONFIRMED
